,SubjectID,Device,ActivityID,TrialNo,Acc,Gyr
0,5,Neck,17,6,"[[ 3168  1358  1831]
 [ 3173  1357  1829]
 [ 3173  1357  1826]
 ...
 [-1339  3377 -2123]
 [-1323  3373 -2115]
 [-1312  3372 -2105]]","[[ -56   93    0]
 [ -59   93   -3]
 [ -60   87   -4]
 ...
 [ 586  310 -355]
 [ 576  312 -353]
 [ 575  310 -347]]"
1,8,Neck,133,1,"[[4021   40  -71]
 [4024   44  -75]
 [4021   44  -77]
 ...
 [-447  730 3842]
 [-449  728 3833]
 [-442  730 3822]]","[[-22  59  18]
 [-23  59  22]
 [-23  58  22]
 ...
 [-68  85  14]
 [-65  84  17]
 [-67  86  15]]"
2,13,Waist,17,8,"[[-1305 -3851   244]
 [-1304 -3853   239]
 [-1302 -3854   239]
 ...
 [ -257  1516  3772]
 [ -251  1513  3771]
 [ -251  1513  3770]]","[[ 0 36 11]
 [-4 36 14]
 [-3 34 16]
 ...
 [ 3 31 -6]
 [ 1 28 -4]
 [ 2 26 -7]]"
3,3,Wrist,104,1,"[[3864 1608  335]
 [3891 1599  346]
 [3905 1592  354]
 ...
 [2729 1677 2042]
 [3056 1721 2101]
 [3342 1745 2140]]","[[-737 -422  699]
 [-753 -409  671]
 [-759 -399  640]
 ...
 [-208  -97  216]
 [-217 -112  241]
 [-207 -132  261]]"
4,8,Neck,113,2,"[[4371  578 -697]
 [4394  566 -658]
 [4394  557 -625]
 ...
 [ 756 3052 2329]
 [ 756 3049 2333]
 [ 756 3046 2332]]","[[105 147 -30]
 [ 93 144 -32]
 [ 73 143 -35]
 ...
 [-71  75  16]
 [-67  71  17]
 [-68  74  16]]"
5,15,Wrist,39,1,"[[ 3825  -724  -489]
 [ 3819  -727  -476]
 [ 3818  -726  -465]
 ...
 [ 3765  -889 -1031]
 [ 3766  -891 -1038]
 [ 3768  -890 -1040]]","[[-499  151  -53]
 [-491  151  -50]
 [-479  151  -46]
 ...
 [ -29   30   21]
 [ -29   30   26]
 [ -29   26   26]]"
6,6,Wrist,120,2,"[[3788 1070 -950]
 [3789 1076 -949]
 [3786 1083 -944]
 ...
 [3680  606 -435]
 [3698  643 -465]
 [3711  679 -496]]","[[ 112   61 -188]
 [ 109   61 -187]
 [ 104   61 -184]
 ...
 [ 700  134 1104]
 [ 748  137 1064]
 [ 786  144 1024]]"
7,14,Wrist,13,12,"[[ 3914  -988  -267]
 [ 3912  -984  -268]
 [ 3910  -982  -271]
 ...
 [ 3464 -1547 -1422]
 [ 3463 -1544 -1424]
 [ 3464 -1541 -1425]]","[[40 31 48]
 [36 34 42]
 [33 32 43]
 ...
 [40 13 35]
 [42 12 36]
 [44 15 33]]"
8,10,Wrist,16,6,"[[ 3910  -812  -624]
 [ 3910  -807  -624]
 [ 3907  -805  -628]
 ...
 [ 3009 -1386 -2703]
 [ 3023 -1391 -2725]
 [ 3039 -1394 -2743]]","[[  61   18   28]
 [  60   22   31]
 [  56   21   32]
 ...
 [ 492  -90  283]
 [ 528  -95  294]
 [ 563 -100  300]]"
9,14,Wrist,9,3,"[[-3983   207 -1399]
 [-3985   219 -1398]
 [-3984   224 -1394]
 ...
 [ 3912 -1153    52]
 [ 3933 -1159    54]
 [ 3963 -1175    50]]","[[117 -30  28]
 [118 -31  31]
 [116 -29  35]
 ...
 [ 28  19  70]
 [ 31  10  78]
 [ 36   6  87]]"
10,2,Neck,129,1,"[[ 4201   768  1031]
 [ 4316   832  1095]
 [ 4408   893  1140]
 ...
 [ -555 -1649 -4099]
 [ -600 -1611 -4045]
 [ -598 -1588 -3992]]","[[-921   41 -274]
 [-871   59 -298]
 [-810   78 -321]
 ...
 [ -79  112   13]
 [ -79   91   17]
 [ -91   75   27]]"
11,3,Waist,31,2,"[[2686  948  130]
 [2677  898   93]
 [2686  861   64]
 ...
 [3867 1074 -341]
 [3879 1076 -348]
 [3885 1079 -349]]","[[ 714 -475  200]
 [ 624 -321  193]
 [ 528 -169  190]
 ...
 [ -67   -8  -25]
 [ -77  -10  -24]
 [ -81  -13  -23]]"
12,9,Waist,16,2,"[[ 3964  -519    19]
 [ 3880  -474    12]
 [ 3791  -437     3]
 ...
 [  526 -1378  3836]
 [  524 -1379  3837]
 [  525 -1381  3840]]","[[  75 -104 -142]
 [  53  -87 -153]
 [  25  -74 -164]
 ...
 [ -26   24   22]
 [ -27   26   21]
 [ -25   29   17]]"
13,1,Waist,26,3,"[[3906 -974  466]
 [3911 -975  466]
 [3918 -983  461]
 ...
 [3922 -917  463]
 [3918 -925  476]
 [3915 -934  472]]","[[ -4  15   3]
 [  3  13   0]
 [  6  12   1]
 ...
 [  6  23  -6]
 [  6  21 -10]
 [ 10  20 -10]]"
14,9,Waist,32,1,"[[4112  -12 -179]
 [4122  -12 -193]
 [4135   -2 -181]
 ...
 [3534  215   76]
 [3515  203   57]
 [3495  188   48]]","[[  75  -56  -28]
 [  72  -54  -25]
 [  75  -53  -26]
 ...
 [-746   -4  172]
 [-749    5  163]
 [-753   10  153]]"
15,2,Waist,15,3,"[[3479  143 2042]
 [3476  143 2040]
 [3476  141 2038]
 ...
 [3556   33 1913]
 [3558   32 1913]
 [3558   32 1913]]","[[-14  24  11]
 [-14  28   9]
 [-18  29  10]
 ...
 [-10  28   6]
 [-12  27   7]
 [-10  31   8]]"
16,5,Neck,122,2,"[[ 2881  1033 -3300]
 [ 2864   961 -3111]
 [ 2826   886 -2941]
 ...
 [ 1265  1454 -4205]
 [ 1245  1466 -4245]
 [ 1222  1478 -4275]]","[[  10 1582  322]
 [  93 1551  424]
 [ 190 1521  521]
 ...
 [ 232   14 -319]
 [ 219   84 -272]
 [ 208  160 -226]]"
17,5,Wrist,21,5,"[[3058 1449  658]
 [3033 1467  662]
 [3002 1488  675]
 ...
 [3472 1887  712]
 [3471 1886  712]
 [3474 1886  711]]","[[1217  671  182]
 [1202  668  120]
 [1188  667   67]
 ...
 [  25   18   36]
 [  27   18   34]
 [  30   18   33]]"
18,7,Waist,134,2,"[[ 3535  1884  -354]
 [ 3531  1882  -352]
 [ 3530  1882  -353]
 ...
 [  -88  -223 -4097]
 [  -89  -220 -4099]
 [  -90  -223 -4097]]","[[-18  11   8]
 [-22  13   7]
 [-21  16  10]
 ...
 [-23  27   8]
 [-22  25   8]
 [-20  26   5]]"
19,2,Wrist,12,4,"[[  789 -3633 -1707]
 [  788 -3636 -1711]
 [  788 -3636 -1709]
 ...
 [  911 -3658 -1565]
 [  908 -3658 -1568]
 [  908 -3659 -1571]]","[[ 3 19 26]
 [ 5 20 23]
 [ 4 18 22]
 ...
 [23 15 28]
 [25 16 33]
 [29 17 32]]"
20,7,Waist,108,3,"[[2095 1685  110]
 [2084 1648   88]
 [2172 1725   70]
 ...
 [3152 2813 1277]
 [3284 2733 1251]
 [3410 2642 1217]]","[[-116 -267  -12]
 [-135 -249  -31]
 [-176 -233  -75]
 ...
 [-563  -72 -147]
 [-526  -52 -136]
 [-488  -28 -128]]"
21,14,Neck,117,1,"[[3977 -465  145]
 [3979 -469  143]
 [3980 -469  147]
 ...
 [-104 1038 3779]
 [-105 1041 3780]
 [-107 1041 3783]]","[[-89  73  15]
 [-84  70  17]
 [-84  73  15]
 ...
 [-70  75  17]
 [-68  72  18]
 [-69  72  21]]"
22,13,Waist,124,1,"[[8652 -150 2056]
 [8678 -548 2086]
 [8529 -827 2133]
 ...
 [3493  830  897]
 [3229  744  979]
 [2959  818 1067]]","[[ 3591    30   782]
 [ 3447   -48   781]
 [ 3245   -85   713]
 ...
 [-1017  -692    81]
 [-1091  -692   115]
 [-1058  -702   163]]"
23,3,Waist,42,5,"[[3033 1338 2283]
 [3034 1349 2283]
 [3041 1352 2281]
 ...
 [3004 1433 2282]
 [2969 1436 2218]
 [2963 1441 2148]]","[[-104  -20  -53]
 [-107  -19  -52]
 [-106  -20  -52]
 ...
 [  44    6   39]
 [  51   16   43]
 [  57   26   40]]"
24,11,Wrist,13,4,"[[3893  141 -892]
 [3891  161 -879]
 [3889  174 -864]
 ...
 [3814  894 -940]
 [3815  903 -940]
 [3813  912 -944]]","[[350  41 -77]
 [267  35 -78]
 [194  29 -82]
 ...
 [ -1  28  18]
 [ -3  29  16]
 [  2  26  21]]"
25,5,Wrist,16,4,"[[ 4031  -184  -158]
 [ 4029  -189  -153]
 [ 4028  -191  -151]
 ...
 [  396 -4066  -458]
 [  399 -4069  -456]
 [  398 -4070  -452]]","[[-34   8  16]
 [-38   8  14]
 [-37   6  12]
 ...
 [ 31  15  29]
 [ 29  15  27]
 [ 27  15  27]]"
26,15,Waist,114,1,"[[ 3778   943   795]
 [ 3830  1009   806]
 [ 3873   941   797]
 ...
 [  901 -3442 -2151]
 [  899 -3452 -2152]
 [  899 -3429 -2149]]","[[ -27 -178  -98]
 [ -14 -184  -97]
 [   6 -186  -92]
 ...
 [  -4   10   14]
 [  -5    9   17]
 [  -3    8   20]]"
27,2,Wrist,7,1,"[[-2725  1237  -930]
 [-2731  1168  -862]
 [-2729  1087  -790]
 ...
 [  886 -2825 -2830]
 [  888 -2828 -2830]
 [  892 -2832 -2829]]","[[  -4 1558 2771]
 [ -42 1564 2786]
 [ -73 1570 2796]
 ...
 [  17   15   30]
 [  11   15   29]
 [  12   16   29]]"
28,2,Neck,21,5,"[[4607  507  979]
 [4646  508 1079]
 [4709  479 1207]
 ...
 [3903  386  558]
 [3990  436  580]
 [4057  482  605]]","[[ -50   87 -122]
 [ -35   89 -115]
 [ -23   80 -108]
 ...
 [ -36  319 -282]
 [ -35  310 -271]
 [ -42  288 -248]]"
29,13,Neck,14,8,"[[3971  525 -300]
 [3972  527 -297]
 [3974  532 -295]
 ...
 [3932  393  303]
 [3930  388  311]
 [3932  394  311]]","[[-61  83  17]
 [-59  83  22]
 [-62  88  18]
 ...
 [-64  20  95]
 [-69  22  92]
 [-71  24  90]]"
30,3,Waist,127,4,"[[  910 -1829  3541]
 [  910 -1832  3538]
 [  914 -1831  3540]
 ...
 [ -167  1609 -3817]
 [ -164  1609 -3816]
 [ -164  1610 -3814]]","[[33 48  0]
 [32 48  0]
 [31 48  1]
 ...
 [-2 10  4]
 [ 2  8  5]
 [-3 10  7]]"
31,11,Waist,37,1,"[[ 3787 -1708   688]
 [ 3783 -1681   707]
 [ 3743 -1625   731]
 ...
 [ 3185 -2211  1413]
 [ 3186 -2201  1408]
 [ 3181 -2205  1411]]","[[-1127   368  -245]
 [-1133   359  -240]
 [-1141   348  -230]
 ...
 [  -11    28     4]
 [  -10    25     5]
 [   -9    19     7]]"
32,8,Neck,131,2,"[[3876  574 -912]
 [3881  573 -908]
 [3891  568 -907]
 ...
 [1252 3221 1858]
 [1251 3220 1858]
 [1249 3223 1852]]","[[-46  71  18]
 [-49  72  18]
 [-52  73  18]
 ...
 [-67  76  20]
 [-68  73  20]
 [-70  75  23]]"
